OBJECTID,OBJECTID_1,FACILITYID,Type,FULLADDR,OPERDAYS,OPERHOURS,PARKAREA,PARKURL,NUMPARKING,RESTROOM,ADACOMPLY,CAMPING,SWIMMING,HIKING,FISHING,PICNIC,BOATING,HUNTING,ROADCYCLE,MTBCYCLE,PLAYGROUND,GOLF,SKI,SOCCER,BASEBALL,SOFTBALL,BASKETBALL,TENNIS,SKATEBOARD,INFORMATION,PETS,LASTUPDATE,LASTEDITOR,created_user,created_date,last_edited_user,last_edited_date,ORIG_FID,X,Y
29,29,E.D. Nixon Community Center (Goode),Community Center,1000 Edgar D Nixon Ave,"Mon-
Mon-Fri",8:00AM-5:00PM,1.65449065,http://www.funinmontgomery.com/parks-items/goode-street,,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,,2017/11/03 00:00:00+00,,shutcheson,2017/11/03 15:22:23+00,ABOWEN,2021/12/02 16:39:56+00,83,-86.31428545,32.3634274
30,30,Earl D. James Center (Capital Heights),Community Center,206 FEDERAL DR,Mon-Fri,8:00AM-5:00PM,9.17844068,http://www.funinmontgomery.com/parks-items/capitol-heights,30,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,1,1,Y,N,N,Y,N,2013/08/29 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,4,-86.27137695,32.38416219
31,31,Emory Folmar Soccer Complex,Sports Field,3000 BROWN SPRINGS RD,Sun-Sat,Daylight,52.30991847,http://www.funinmontgomery.com/parks-items/emory-folmar-ymca-soccer-complex,300,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,10,N,N,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,14,-86.18305642,32.37746095
35,35,Floyd Community Center,Community Center,3450 LEBRON RD,Mon-Fri,8:00AM-5:00PM,0.75672686,http://www.funinmontgomery.com/parks-items/Floyd,60,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,2013/08/29 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,22,-86.29555005,32.34031475
38,38,Freedom Rides Museum,Museum,"210 S Court St, Montgomery, AL 36104, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.3091165,32.374636
40,40,Goodwyn Community Center,Community Center,205 PERRY HILL RD,Mon-Fri,8:00AM-5:00PM,0.29132404,http://www.funinmontgomery.com/parks-items/Goodwyn,20,Y,Y,N ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,77,-86.24529258,32.38080913
42,42,Harriot II,Recreation,255 Commerce St,Mon-Fri,8:00AM-5:00PM,0.13515902,http://www.funinmontgomery.com/parks-items/harriot-ii-riverboat,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2017/11/03 00:00:00+00,,shutcheson,2017/11/03 16:45:07+00,ABOWEN,2021/12/02 16:39:56+00,86,-86.31390223,32.38216385
43,43,Hayneville Road Community Center,Community Center,3315 HAYNEVILLE RD,Mon-Fri,8:00AM-5:00PM,23.82768895,http://www.funinmontgomery.com/parks-items/hayneville-road,0,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,69,-86.35501401,32.34789358
45,45,Highland Gardens Community Center,Community Center,2805 WILLENA AVE,Sun-Sat,Daylight,5.34762405,http://www.funinmontgomery.com/parks-items/highland-gardens,0,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,1,1,Y,N,N,Y,N,2013/08/22 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,28,-86.28080241,32.39904434
47,47,Houston Hill Community Center,Community Center,207 HALL ST,Mon-Fri,8:00AM-5:00PM,10.97497262,http://www.funinmontgomery.com/parks-items/houston-hill,0,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,1,1,1,Y,N,N,Y,N,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,30,-86.29060886,32.37686458
48,48,Hunter Station Community Center,Community Center,20 MELTON ST,Sun-Sat,Daylight,3.87568228,http://www.funinmontgomery.com/parks-items/hunter-station,18,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,31,-86.39189354,32.39119508
53,53,King Hill Community Center,Community Center,814 E CLAREMONT ST,Sun-Sat,Daylight,15.15821864,http://www.funinmontgomery.com/parks-items/king-hill,0,Y,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,1,1,1,Y,N,N,Y,N,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,36,-86.27767809,32.39036074
56,56,Landmarks Foundation of Montgomery,Museum,"301 Columbus St, Montgomery, AL 36104, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.3048903999999,32.3824118
60,60,Loveless Community Center,Community Center,911 W JEFF DAVIS AVE,Sun-Sat,Daylight,0.90038378,http://www.funinmontgomery.com/parks-items/Loveless,0,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,43,-86.32325426,32.36559996
62,62,Mann Wildlife Learning Museum,Museum,"325 E Vandiver Blvd, Montgomery, AL 36110, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.2780753999999,32.417899
63,63,McIntyre Community Center,Community Center,1240 HUGH ST,Sun-Sat,Daylight,19.41937771,http://www.funinmontgomery.com/parks-items/McIntyre,0,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,1,1,1,Y,N,N,N,N,2013/08/23 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,44,-86.33375739,32.36054504
65,65,Montgomery Interpretive Center of Selma to Montgomery National Historic Trail,Museum,"1521 Harris Way, Montgomery, AL 36106, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.2912362,32.3651157
66,66,Montgomery Museum of Fine Arts,Museum,"1 Museum Dr, Montgomery, AL 36117, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.2064199,32.3510269
67,67,Montgomery Whitewater,Recreation,1100 MAXWELL BLVD,Sun-Sat,10:00AM-8:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.328981917,32.3785661
