OBJECTID_1,OBJECTID,CALC_ACRE,TAX_MAP,PARCEL_NUM,OWNER1_1,OWNER1_2,MAIL_ST_NU,MAIL_ST_NA,MAIL_EXTRA,MAIL_CITY,MAIL_ST,ZIP_5,ZIP_4,CARE_OF,PROP_ADDRE,STREET_NUM,STREET_NAM,DEED_BOOK_,DEED_PAGE_,DEED_DATE_,NBHD,ZONING,APPRAISED_,Use_,Dev_Area,Maint_By,Maint_Phas,Map_Class,LASTUPDATE,LASTEDITOR,NOTES,DEVEL_AREA,LOCATION,MAP_INDEX,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
20442,3774.0,30.4002028,04 09 29 4 005 003.000,0409294005003000,CITY OF MONTGOMERY & MONTGOMERY COUNTY BOARD OF EDUCATION, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,E VANDIVER BLVD, ,E VANDIVER BLVD, , ,,CHISHOLM,INST,600000.0,USE,,ZOO,0, ,,,ZOO,,S portion of Montgomery Zoo,M-2-BB,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,1324232.8337680332,5133.364981629054
20443,28525.0,39.92913749,10 01 02 1 000 002.000,1001021000002000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,GUNTER PARK DR E, ,GUNTER PARK DR E, , ,,GUNTER AFB,M-1,630000.0,USE,,PARKS & REC,0, ,,,LAGOON PARK,,SW portion of Lagoon Park,"M-2-DD, M-6-F",ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,1739313.229179259,5469.095767815879
20444,2092.0,8.13353988,04 08 28 3 000 003.000,0408283000003000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,NORTH BLVD, ,NORTH BLVD,482,889,324000000000,VISTA VIEW,INST,228000.0,USE,,PARKS & REC,0, ,,,CHISHOLM COMMUNITY CENTER,,Baseball fields at S end of Community Center,M-2-BB,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,354296.99699539074,2700.4151339594578
20445,3772.0,13.78861974,04 09 29 4 005 001.000,0409294005001000,CITY OF MONTGOMERY & STATE OF ALABAMA, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,2301 COLISEUM BLVD,2301,COLISEUM BLVD, , ,,CHISHOLM,INST,280000.0,USE,,ZOO,0, ,,,ZOO,,,"M-2-V, M-2-BB",ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,600632.2757166291,4128.067739468697
20446,66.0,93.99971788,03 07 36 0 000 001.001,0307360000001001,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,DIVISION ST, ,DIVISION ST,766,98,504144000000,CLISBY PARK,M-3,204400.0,USE,,LANDFILL,0, ,,,LANDFILL,,SE portion of Landfill,M-2-Z,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,4094627.7110640495,11110.713035957673
20447,34549.0,0.32799557,10 02 09 3 016 016.000,1002093016016000,CITY OF MONTGOMERY, , , ,PO BOX 1111,MONTGOMERY,AL,36101,0000, ,BRADLEY DR, ,BRADLEY DR, , ,,OAK PARK-E OF ANN ST,R-60-s,15000.0,USE,,MAINTENANCE,0,,,,STORM DRAINAGE,,b/t 203 and 207 Bradley Dr,M-6-J,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,14287.486822931003,500.35138992206
20448,38417.0,0.06412063,10 03 07 4 004 002.000,1003074004002000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,E JEFFERSON ST, ,E JEFFERSON ST,897,592,554601600000,CLISBY PARK,T4-0,11200.0,USE,,POLICE,0, ,,,POLICE - RIPLEY PARKING,,50 feet W of N Jackson St,M-6-I-2,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,2793.0946626067926,273.4534096336677
20449,1665.0,14.41484289,04 07 35 2 001 004.000,0407352001004000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36104,1111, ,GUNTER PARK DR, ,GUNTER PARK DR, , ,,GUNTER AFB,INST,300000.0,USE,,PARKS & REC,0, ,,,WATER WORKS,,"Bounds-Congr WL Dickinson, Gunter Park & North Dr",M-2-DD,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,627910.5561158914,4486.62685804757
20450,33202.0,0.39542824,10 02 04 4 001 005.000,1002044001005000,CITY OF MONTGOMERY, , , , ,MONTGOMERY,AL,36101,0000, ,3305 BILTMORE AVE,3305,BILTMORE AVE, , ,,EASTBROOK,B-2,51000.0,USE,,FIRE,0, ,,,FIRE STATION 11,,,M-6-E,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,17224.85397927348,531.3910641075852
20451,38122.0,0.05342031,10 03 07 2 204 022.001,1003072204022001,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,411 N DECATUR ST,411,N DECATUR ST,1432,720,758246400000,CLISBY PARK,T4-O,18600.0,USE,,OLD ALABAMA TOWN,0, ,1756944000000,ACB,OLD ALABAMA TOWN,,,M-6-C-4,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,2326.9886715237644,201.59960997172715
20452,38117.0,1.64480071,10 03 07 2 204 017.000,1003072204017000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36104,1111, ,401 N HULL ST,401,N HULL ST, , ,,CLISBY PARK,T4-O,573200.0,USE,,PARKS & REC,0, ,1756944000000,ACB,KIWANIS PARK,,,M-6-C-4,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,71647.51886236315,1112.1138255730448
20453,38124.0,0.3927568,10 03 07 2 204 025.000,1003072204025000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,420 N HULL ST,420,N HULL ST,1045,119,619660800000,CLISBY PARK,T4-O,336000.0,USE,,OLD ALABAMA TOWN,0, ,1756944000000,ACB,OLD ALABAMA TOWN,,,M-6-C-4,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,17108.48609964165,523.3347146470807
20454,38197.0,0.33287695,10 03 07 3 301 003.000,1003073301003000,CITY OF MONTGOMERY, ,2052,RIDGE AVE, ,MONTGOMERY,AL,36106, , ,401 MADISON AVE,401,MADISON AVE,779,64,509328000000,CLISBY PARK,T4-0,203000.0,USE,DOWNTOWN PLAN,OLD ALABAMA TOWN,0, ,1756944000000,ACB,OLD ALABAMA TOWN,DOWNTOWN PLAN,,M-6-I-1,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,14500.11999825755,500.002491517328
20455,38146.0,0.26818729,10 03 07 2 204 046.000,1003072204046000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,309 N HULL ST,309,HULL ST N,1299,986,721958400000,CLISBY PARK,T4-O,181800.0,USE,,OLD ALABAMA TOWN,0, ,1756944000000,ACB,OLD ALABAMA TOWN,,,M-6-I-1,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,11682.238413459077,432.721359594627
20456,38245.0,0.16865889,10 03 07 3 302 024.000,1003073302024000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,MONROE ST, ,MONROE ST,192,225,105235200000,CLISBY PARK,T5,132200.0,USE,DOWNTOWN PLAN,PARKS & REC,0, ,1756944000000,ACB,CITY HALL PARKING DECK,DOWNTOWN PLAN,SW portion of parking deck & exit,M-6-I-1,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,7346.7810524675315,400.41079232937085
20457,28532.0,2.06215824,10 01 02 1 000 004.000,1001021000004000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,2710 LAGOON PARK DR,2710,LAGOON PARK DR, , ,,GUNTER AFB,M-1,67500.0,USE,,FIRE,0, ,,,FIRE STATION 5,,,M-6-F,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,89827.61305175308,1200.0021923824222
20458,38416.0,0.13058665,10 03 07 4 004 001.000,1003074004001000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,N JACKSON ST, ,N JACKSON ST,897,592,554601600000,CLISBY PARK,T4-0,34100.0,USE,,POLICE,0, ,,,POLICE - RIPLEY PARKING,,SW corner of E Jefferson St & N Jackson St,M-6-I-2,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,5688.354293971781,324.20796243266614
20459,38123.0,0.43692173,10 03 07 2 204 024.000,1003072204024000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,450 S HULL ST,450,S HULL ST,955,50,580521600000,CLISBY PARK,T4-O,565600.0,USE,,OLD ALABAMA TOWN,0, ,1756944000000,ACB,OLD ALABAMA TOWN,,,M-6-C-4,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,19032.310390712802,591.3516967912082
20460,38145.0,0.12379942,10 03 07 2 204 045.000,1003072204045000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,301 N HULL ST,301,N HULL ST,584,406,404352000000,CLISBY PARK,T4-O,43100.0,USE,,OLD ALABAMA TOWN,0, ,1756944000000,ACB,OLD ALABAMA TOWN,,,M-6-I-1,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,5392.702616890901,311.4100357706835
20461,38118.0,0.40763579,10 03 07 2 204 018.000,1003072204018000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,436 N MCDONOUGH ST,436,N MCDONOUGH ST,1420,717,754790400000,CLISBY PARK,T4-O,349700.0,USE,,OLD ALABAMA TOWN,0, ,1756944000000,ACB,OLD ALABAMA TOWN,,,M-6-C-4,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,17756.61486972006,553.3955228206248
20462,38120.0,0.29994138,10 03 07 2 204 021.000,1003072204021000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,301 COLUMBUS ST,301,COLUMBUS ST,2098,519,954201600000,CLISBY PARK,T4-O,596000.0,USE,,OLD ALABAMA TOWN,0, ,1756944000000,,OLD ALABAMA TOWN,,,M-6-C-4,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,13065.44634267831,459.5950571506749
