X,Y,FID,foottraffic
-9534564.48021474,3691761.07098278,1454,101
-9541508.59005042,3775069.8908783,1455,161
-9541508.59005042,3775069.8908783,1456,161
-9541508.59005042,3775069.8908783,1457,161
-9541026.57665529,3779305.46706629,1458,254
-9541026.57665529,3779305.46706629,1459,254
-9541026.57665529,3779305.46706629,1460,254
-9566681.26650351,3797569.88138356,1461,94
-9566681.26650351,3797569.88138356,1462,94
-9566681.26650351,3797569.88138356,1463,94
-9575453.24237802,3807223.07237043,1464,106
-9575453.24237802,3807223.07237043,1465,106
-9575453.24237802,3807223.07237043,1466,106
-9575453.24237802,3807223.07237043,1467,106
-9575453.24237802,3807223.07237043,1468,106
-9575453.24237802,3807223.07237043,1469,106
-9575453.24237802,3807223.07237043,1470,106
-9575453.24237802,3807223.07237043,1471,106
-9575453.24237802,3807223.07237043,1472,106
-9575453.24237802,3807223.07237043,1473,106
-9575453.24237802,3807223.07237043,1474,106
-9575453.24237802,3807223.07237043,1475,106
-9575453.24237802,3807223.07237043,1476,106
-9575453.24237802,3807223.07237043,1477,106
-9575453.24237802,3807223.07237043,1478,106
-9575453.24237802,3807223.07237043,1479,106
-9575453.24237802,3807223.07237043,1480,106
-9565431.1486219,3771084.05813826,1481,40
-9565431.1486219,3771084.05813826,1482,40
-9565431.1486219,3771084.05813826,1483,40
-9546651.55052507,3775726.87890168,1484,161
-9546651.55052507,3775726.87890168,1485,161
-9546651.55052507,3775726.87890168,1486,161
-9546651.55052507,3775726.87890168,1487,161
-9546651.55052507,3775726.87890168,1488,161
-9546651.55052507,3775726.87890168,1489,161
-9546651.55052507,3775726.87890168,1490,161
-9546651.55052507,3775726.87890168,1491,161
-9546651.55052507,3775726.87890168,1492,161
-9546651.55052507,3775726.87890168,1493,161
-9546651.55052507,3775726.87890168,1494,161
-9566056.76416015,3781262.77421417,1495,93
-9566056.76416015,3781262.77421417,1496,93
-9566056.76416015,3781262.77421417,1497,93
-9566056.76416015,3781262.77421417,1498,93
-9566056.76416015,3781262.77421417,1499,93
-9582607.7460513,3808534.03270145,1500,159
-9582607.7460513,3808534.03270145,1501,159
-9582607.7460513,3808534.03270145,1502,159
-9582607.7460513,3808534.03270145,1503,159
-9582607.7460513,3808534.03270145,1504,159
-9582607.7460513,3808534.03270145,1505,159
-9582607.7460513,3808534.03270145,1506,159
-9582607.7460513,3808534.03270145,1507,159
-9582607.7460513,3808534.03270145,1508,159
-9582607.7460513,3808534.03270145,1509,159
-9582607.7460513,3808534.03270145,1510,159
-9574542.64894333,3764360.79727681,1511,90
-9574542.64894333,3764360.79727681,1512,90
-9574542.64894333,3764360.79727681,1513,90
-9574542.64894333,3764360.79727681,1514,90
-9574542.64894333,3764360.79727681,1515,90
-9574542.64894333,3764360.79727681,1516,90
-9574542.64894333,3764360.79727681,1517,90
-9617749.08290492,3838319.20441709,1518,180
-9617749.08290492,3838319.20441709,1519,180
-9617749.08290492,3838319.20441709,1520,180
-9617749.08290492,3838319.20441709,1521,180
-9617749.08290492,3838319.20441709,1522,180
-9617749.08290492,3838319.20441709,1523,180
-9617749.08290492,3838319.20441709,1524,180
-9617749.08290492,3838319.20441709,1525,180
-9617749.08290492,3838319.20441709,1526,180
-9617749.08290492,3838319.20441709,1527,180
-9537486.61684806,3764183.57463941,1528,94
-9549770.7226571,3798703.36473494,1529,77
-9549770.7226571,3798703.36473494,1530,77
-9549770.7226571,3798703.36473494,1531,77
-9538736.73472967,3773561.58238753,1532,252
-9538736.73472967,3773561.58238753,1533,252
-9538736.73472967,3773561.58238753,1534,252
-9538736.73472967,3773561.58238753,1535,252
-9538736.73472967,3773561.58238753,1536,252
-9536446.89280405,3781350.85397467,1537,253
-9536446.89280405,3781350.85397467,1538,253
-9536446.89280405,3781350.85397467,1539,253
-9536446.89280405,3781350.85397467,1540,253
-9566369.57192929,3778158.04731563,1541,93
-9566369.57192929,3778158.04731563,1542,93
-9566369.57192929,3778158.04731563,1543,93
-9659316.89396203,3743529.39974592,1544,55
-9659316.89396203,3743529.39974592,1545,55
-9656462.6622181,3716675.50888873,1546,157
-9656462.6622181,3716675.50888873,1547,157
-9656462.6622181,3716675.50888873,1548,157
-9656462.6622181,3716675.50888873,1549,157
-9652977.24896136,3702541.97771147,1550,82
-9642582.23491108,3739962.73303253,1551,160
-9573789.01599066,3732104.57748129,1552,103
-9662876.89127761,3747042.06191846,1553,53
-9680447.55970442,3788277.00133488,1554,46
-9680447.55970442,3788277.00133488,1555,46
-9667890.72114293,3740146.15092292,1556,55
-9667890.72114293,3740146.15092292,1557,55
