X,Y,OBJECTID,Request_ID,Create_Date,Department,Request_Type,Address,District,Status,Close_Date,Origin,Latitude,Longitude,Year,GlobalID,created_user,created_date,last_edited_user,last_edited_date
,,51,317696,2021/01/04 15:59:00+00,Sanitation Department,Inquiries,,,Closed,2021/01/04 15:59:00+00,Call Center,0,0,2021,{094F3B62-2FE8-402F-A6F5-C8AA3685835F},,,,
541676.614213329,688219.197120823,52,317697,2021/01/04 16:05:00+00,Street Maintenance,Fallen Trees and Limbs,536 DUNBARTON CT,1,Closed,2021/01/06 21:22:00+00,Call Center,32.3914394,-86.2042348,2021,{C8CA09DE-9485-41EF-8901-756C09DEF86C},,,,
511689.785735663,670259.215652406,53,317698,2021/01/04 16:06:00+00,Sanitation Department,Container Ordinance,3478 WILMINGTON RD,7,Closed,2021/01/07 19:26:00+00,Call Center,32.3417511,-86.3011232,2021,{21FEB1A6-3B2B-4E53-A4FE-6B791CA40D24},,,,
511868.835902497,670614.284824155,54,317699,2021/01/04 16:07:00+00,Sanitation Department,Container Ordinance,3451 WILMINGTON RD,7,Closed,2021/01/07 19:27:00+00,Call Center,32.3427292,-86.3005485,2021,{A0E1B927-9F29-47AE-9B16-790278E89333},,,,
,,55,317700,2021/01/04 16:07:00+00,FAQ,Ask 3-1-1,,,Closed,2021/01/04 16:07:00+00,Call Center,0,0,2021,{86E4A97C-1513-4ADA-88FC-A391C5F3B7F8},,,,
511691.682713497,670693.533681408,56,317701,2021/01/04 16:07:00+00,Code Enforcement,Parking On Front Lawn,3450 WILMINGTON RD,7,Closed,2021/01/06 14:40:00+00,Call Center,32.3429449,-86.3011232,2021,{E1CB5907-56CC-414A-B676-5DDAFD70A087},,,,
541676.614213329,688219.197120823,57,317702,2021/01/04 16:08:00+00,Sanitation Department,Exchange Damage Container,536 DUNBARTON CT,1,Closed,2021/01/11 20:30:00+00,Call Center,32.3914394,-86.2042348,2021,{0A9AAA0F-F24C-4095-B613-EBD2F687EA45},,,,
511689.785735663,670259.215652406,58,317703,2021/01/04 16:08:00+00,Code Enforcement,Parking On Front Lawn,3478 WILMINGTON RD,7,Closed,2021/01/06 14:40:00+00,Call Center,32.3417511,-86.3011232,2021,{C528D723-86D4-4028-AFF0-18ED8131F587},,,,
511866.730263662,670131.68900457,59,317704,2021/01/04 16:08:00+00,Code Enforcement,Parking On Front Lawn,3489 WILMINGTON RD,7,Closed,2021/01/06 14:43:00+00,Call Center,32.3414027,-86.3005485,2021,{6AB0792C-2396-40DB-B4FF-57453B95B959},,,,
,,60,317705,2021/01/04 16:10:00+00,FAQ,Ask 3-1-1,,,Closed,2021/01/04 16:10:00+00,Call Center,0,0,2021,{CD86CFA6-F4F9-45C3-8A05-645625742468},,,,
